rule_id,slot_position,paradigm_set,affix_type,target_pos,required_features,environment_condition,morpheme_action,gloss_tag
ACT_1PL,15,Active_Suffix_Set,Suffix,Verb,active,N/A,-cel,1PLS
ACT_1PLIMP,15,Active_Suffix_Set,Suffix,Verb,active,N/A,-lo,1PLIMP
ACT_1SG,15,Active_Suffix_Set,Suffix,Verb,active,N/A,-o,1SGS
ACT_2PL,15,Active_Suffix_Set,Suffix,Verb,active,N/A,-tem,2PLS
ACT_2PLIMP,15,Active_Suffix_Set,Suffix,Verb,active,N/A,-to,12PLIMP
ACT_3PL,15,Active_Suffix_Set,Suffix,Verb,active,N/A,-ul,3PLS
OBJ_1PL,-3,Object_Prefix_Set,Prefix,Verb,N/A,N/A,iš-,1PLO
OBJ_1SG,-3,Object_Prefix_Set,Prefix,Verb,N/A,N/A,hi-,1SGO
OBJ_2PL,-4,Object_Prefix_Set,Prefix,Verb,N/A,N/A,nak-,2PLO
OBJ_2SG,-4,Object_Prefix_Set,Prefix,Verb,N/A,N/A,n̥-,2SGO
OBJ_3PL,-2,Object_Prefix_Set,Prefix,Verb,N/A,N/A,šak-,3PLO
TAM_PRET,30,TAM_Set,Suffix,Verb,N/A,N/A,-at,PRET
TAM_DUB,20,TAM_Set,Suffix,Verb,N/A,N/A,-ehe,DUB
TAM_FUT,20,TAM_Set,Suffix,Verb,N/A,N/A,-tikit,FUT
TAM_PROG_SG,20,TAM_Set,Suffix,Verb,N/A,N/A,-kit,PROG(SG)
TAM_PROG_PL,20,TAM_Set,Suffix,Verb,N/A,N/A,-tit,PROG(PL)
TAM_SUB_IF_CONS,20,TAM_Set,Suffix,Verb,N/A,.*[^aeiou]$,-n̥,IF
TAM_SUB_WHEN,20,TAM_Set,Suffix,Verb,N/A,N/A,-kin,WHEN
TAM_SUB_CAUSE,20,TAM_Set,Suffix,Verb,N/A,N/A,-ip,CAUSE
TAM_GER,30,TAM_Set,Suffix,Verb,N/A,.*[^a]$,-ne,GER
TAM_PART,10,TAM_Set,Suffix,Verb,N/A,N/A,-ta,PART
NEG_AOR,5,NEG_Set,Suffix,Verb,N/A,N/A,-hah,NEG
NEG_GEN,25,NEG_Set,Suffix,Verb,N/A,N/A,-hah,NEG
ASPCT_ALMOST,10,Aspect_Set,Suffix,Verb,N/A,N/A,-hán,ALMOST
ASPCT_COMPL,10,Aspect_Set,Suffix,Verb,N/A,N/A,-háŋš,COMPL
ASPCT_DESID,10,Aspect_Set,Suffix,Verb,N/A,N/A,-koh,DESID
ASPCT_CONT,10,Aspect_Set,Suffix,Verb,N/A,N/A,-n̥t,CONTIN
ASPCT_FC,5,Aspect_Set,Suffix,Verb,N/A,N/A,-ki,FC
ASPCT_CUSTOM,25,Aspect_Set,Suffix,Verb,N/A,N/A,-nšt,CUSTOM
ASPCT_HABIT,25,Aspect_Set,Suffix,Verb,N/A,N/A,-nš,HABIT
ASPCT_BEFORE,30,Aspect_Set,Suffix,Verb,negative,N/A,-tán,YET
ASPCT_PPROG,15,Aspect_Set,Suffix,Verb,N/A,N/A,-tihi,PST.PROG
OBJ_RFLX,-1,Object_Prefix_Set,Prefix,Verb,N/A,N/A,hat-,REFLEX
OBJ_RCP,-1,Object_Prefix_Set,Prefix,Verb,N/A,N/A,hok-,RECIP
OBJ_INDF,-5,Object_Prefix_Set,Prefix,Verb,N/A,N/A,šok-,STH
LD_SIT,-7,Loc_Direct_Set,Prefix,Verb,N/A,N/A,kew-,SIT
LD_STAND_SG,-7,Loc_Direct_Set,Prefix,Verb,N/A,N/A,taw-,STAND
LD_STAND_PL,-7,Loc_Direct_Set,Prefix,Verb,N/A,N/A,cow-,STAND(PL)
LD_GO,-7,Loc_Direct_Set,Prefix,Verb,N/A,N/A,tik-,GO
LD_COME,-7,Loc_Direct_Set,Prefix,Verb,N/A,N/A,ok-,COME
LD_BACK,-7,Loc_Direct_Set,Prefix,Verb,N/A,N/A,pay-,BACK
LD_UPWARD,-7,Loc_Direct_Set,Prefix,Verb,N/A,N/A,hiyik-,UPWARD
LD_INSTR,-7,Loc_Direct_Set,Prefix,Verb,N/A,N/A,ik-,INSTR
VD_CAUS_A,10,Verb_Deriv_Set,Suffix,Verb,intransitive,.*[cšnŋptk],-iš,CAUS
VD_CAUS_B,10,Verb_Deriv_Set,Suffix,Verb,intransitive,.*[^cšnŋptk],-š,CAUS
VD_NOT_BUT_A,10,Verb_Deriv_Set,Suffix,Noun,N/A,.*[^šptk]$,-šim,NOTHING.BUT
VD_NOT_BUT_B,10,Verb_Deriv_Set,Suffix,Noun,N/A,.*[šptk]$,-sim,NOTHING.BUT
VD_TRANS,10,Verb_Deriv_Set,Suffix,Verb,intransitive,N/A,-i,TRANS
REDUP_CVC,1,Redup_Set,Reduplication,Verb,N/A,^([^aeiou]+)([aeiou]+)(·?)([^aeiou]+)(.*)$,\1\2\4\1\2\3\4\5,REDUP
REDUP_NAK,1,Redup_Set,Reduplication,Verb,stative,^(.*)$,\1nak\1,"REDUP,INTENS"
REDUP_HOK,1,Redup_Set,Reduplication,Verb,active,^(.*)$,\1hok\1,"REDUP,RECIP"
REDUP_ŠAK,1,Redup_Set,Reduplication,Verb,active,^(.*)$,\1šak\1,"REDUP,3PLO"
TAM_GER_A,30,TAM_Set,Suffix,Verb,N/A,.*a$,-n,GER
TAM_SUB_IF_VOWEL,20,TAM_Set,Suffix,Verb,N/A,.*[aeiou]$,-n,IF
